fund_type,table_group,metric,is_subcategory,value_unit,quarter,date,year,month,fin_year,quarter_label,value
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2004,1/12/2004,2004,12,2005,Q2,459478
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2005,1/3/2005,2005,3,2005,Q3,491615
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2005,1/6/2005,2005,6,2005,Q4,506506
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2005,1/9/2005,2005,9,2006,Q1,527747
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2005,1/12/2005,2005,12,2006,Q2,564829
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2006,1/3/2006,2006,3,2006,Q3,590705
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2006,1/6/2006,2006,6,2006,Q4,629780
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2006,1/9/2006,2006,9,2007,Q1,636785
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2006,1/12/2006,2006,12,2007,Q2,662527
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2007,1/3/2007,2007,3,2007,Q3,706878
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2007,1/6/2007,2007,6,2007,Q4,737151
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2007,1/9/2007,2007,9,2008,Q1,791643
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2007,1/12/2007,2007,12,2008,Q2,813531
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2008,1/3/2008,2008,3,2008,Q3,813243
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2008,1/6/2008,2008,6,2008,Q4,758193
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2008,1/9/2008,2008,9,2009,Q1,756088
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2008,1/12/2008,2008,12,2009,Q2,736809
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2009,1/3/2009,2009,3,2009,Q3,668965
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2009,1/6/2009,2009,6,2009,Q4,652105
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2009,1/9/2009,2009,9,2010,Q1,691461
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2009,1/12/2009,2009,12,2010,Q2,761832
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2010,1/3/2010,2010,3,2010,Q3,782399
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2010,1/6/2010,2010,6,2010,Q4,803807
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2010,1/9/2010,2010,9,2011,Q1,780689
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2010,1/12/2010,2010,12,2011,Q2,815189
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2011,1/3/2011,2011,3,2011,Q3,842490
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2011,1/6/2011,2011,6,2011,Q4,866615
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2011,1/9/2011,2011,9,2012,Q1,867459
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2011,1/12/2011,2011,12,2012,Q2,828420
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2012,1/3/2012,2012,3,2012,Q3,847009
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2012,1/6/2012,2012,6,2012,Q4,895986
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2012,1/9/2012,2012,9,2013,Q1,894737
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2012,1/12/2012,2012,12,2013,Q2,934220
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2013,1/3/2013,2013,3,2013,Q3,968274
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2013,1/6/2013,2013,6,2013,Q4,1012563
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Sep 2013,1/9/2013,2013,9,2014,Q1,1039107
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Dec 2013,1/12/2013,2013,12,2014,Q2,1094129
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Mar 2014,1/3/2014,2014,3,2014,Q3,1140042
All Funds,Financial Performance,Net assets at the beginning of the period,FALSE,$m,Jun 2014,1/6/2014,2014,6,2014,Q4,1155676
