metric_id,metric_name,is_subcategory,value_unit,table_group_name
4,"Australian fixed income",0,$m,"Asset Allocation"
131,"Australian fixed income",0,$m,"Asset Allocation"
5,"Australian listed equity",0,$m,"Asset Allocation"
132,"Australian listed equity",0,$m,"Asset Allocation"
7,"Australian unlisted infrastructure",0,$m,"Asset Allocation"
134,"Australian unlisted infrastructure",0,$m,"Asset Allocation"
10,Cash,0,$m,"Asset Allocation"
137,Cash,0,$m,"Asset Allocation"
13,Commodities,0,$m,"Asset Allocation"
140,Commodities,0,$m,"Asset Allocation"
18,Equity,0,$m,"Asset Allocation"
145,Equity,0,$m,"Asset Allocation"
20,"Fixed income",0,$m,"Asset Allocation"
147,"Fixed income",0,$m,"Asset Allocation"
26,Infrastructure,0,$m,"Asset Allocation"
153,Infrastructure,0,$m,"Asset Allocation"
27,"International fixed income",0,$m,"Asset Allocation"
154,"International fixed income",0,$m,"Asset Allocation"
30,"International listed equity",0,$m,"Asset Allocation"
157,"International listed equity",0,$m,"Asset Allocation"
32,"International unlisted infrastructure",0,$m,"Asset Allocation"
159,"International unlisted infrastructure",0,$m,"Asset Allocation"
166,"Listed infrastructure",0,$m,"Asset Allocation"
39,"Listed infrastructure",0,$m,"Asset Allocation"
41,"Listed property",0,$m,"Asset Allocation"
168,"Listed property",0,$m,"Asset Allocation"
57,"of which: currency hedged",1,$m,"Asset Allocation"
184,"of which: currency hedged",1,$m,"Asset Allocation"
61,"of which: hedge funds",1,$m,"Asset Allocation"
188,"of which: hedge funds",1,$m,"Asset Allocation"
68,Other,0,$m,"Asset Allocation"
195,Other,0,$m,"Asset Allocation"
75,Property,0,$m,"Asset Allocation"
202,Property,0,$m,"Asset Allocation"
81,"Total investments",0,$m,"Asset Allocation"
208,"Total investments",0,$m,"Asset Allocation"
84,"Unlisted equity",0,$m,"Asset Allocation"
211,"Unlisted equity",0,$m,"Asset Allocation"
86,"Unlisted property",0,$m,"Asset Allocation"
213,"Unlisted property",0,$m,"Asset Allocation"
2,"Administration and operating expenses",0,$m,"Financial Performance"
129,"Administration and operating expenses",0,$m,"Financial Performance"
9,"Benefit payments",0,$m,"Financial Performance"
136,"Benefit payments",0,$m,"Financial Performance"
142,"Contribution tax and surcharge",0,$m,"Financial Performance"
15,"Contribution tax and surcharge",0,$m,"Financial Performance"
16,Employer,0,$m,"Financial Performance"
143,Employer,0,$m,"Financial Performance"
22,"Government co-contributions",0,$m,"Financial Performance"
149,"Government co-contributions",0,$m,"Financial Performance"
24,"Income tax expense/benefit",0,$m,"Financial Performance"
151,"Income tax expense/benefit",0,$m,"Financial Performance"
34,"Investment expenses",0,$m,"Financial Performance"
161,"Investment expenses",0,$m,"Financial Performance"
36,"Investment income",0,$m,"Financial Performance"
163,"Investment income",0,$m,"Financial Performance"
37,"Investment income after impairment expense",0,$m,"Financial Performance"
164,"Investment income after impairment expense",0,$m,"Financial Performance"
38,Inward,0,$m,"Financial Performance"
165,Inward,0,$m,"Financial Performance"
43,"Low income super contributions",0,$m,"Financial Performance"
170,"Low income super contributions",0,$m,"Financial Performance"
171,"Lump sums",0,$m,"Financial Performance"
44,"Lump sums",0,$m,"Financial Performance"
172,Member,0,$m,"Financial Performance"
45,Member,0,$m,"Financial Performance"
174,"Net assets at the beginning of the period",0,$m,"Financial Performance"
47,"Net assets at the beginning of the period",0,$m,"Financial Performance"
175,"Net assets at the end of the quarter",0,$m,"Financial Performance"
