fact_id,fund_type_name,table_group_name,metric_name,is_subcategory,value_unit,quarter,date,year,month,fin_year,quarter_label,value
28704,"All Funds","Performance Ratios","Administration and operating expense",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,682.00
28703,"All Funds","Performance Ratios","Administration and operating expense",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,682.00
4377,"All Funds","Financial Performance","Administration and operating expenses",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,682.00
4378,"All Funds","Financial Performance","Administration and operating expenses",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,682.00
2138,"All Funds","Financial Performance","Benefit payments",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,8460.00
2137,"All Funds","Financial Performance","Benefit payments",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,8460.00
28023,"All Funds","Performance Ratios","Cash flow adjusted net assets",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,462205.00
28024,"All Funds","Performance Ratios","Cash flow adjusted net assets",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,462205.00
1365,"All Funds","Financial Performance","Contribution tax and surcharge",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,1041.00
1366,"All Funds","Financial Performance","Contribution tax and surcharge",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,1041.00
342,"All Funds","Financial Performance",Employer,0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,8381.00
341,"All Funds","Financial Performance",Employer,0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,8381.00
4717,"All Funds","Financial Performance","Income tax expense/benefit",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,767.00
28874,"All Funds","Performance Ratios","Income tax expense/benefit",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,767.00
28873,"All Funds","Performance Ratios","Income tax expense/benefit",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,767.00
4718,"All Funds","Financial Performance","Income tax expense/benefit",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,767.00
28363,"All Funds","Performance Ratios","Investment expense",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,275.00
28364,"All Funds","Performance Ratios","Investment expense",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,275.00
4038,"All Funds","Financial Performance","Investment expenses",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,275.00
4037,"All Funds","Financial Performance","Investment expenses",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,275.00
3427,"All Funds","Financial Performance","Investment income",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,27397.00
3428,"All Funds","Financial Performance","Investment income",0,$m,"Dec 2004",2004-12-01,2004,12,2005,Q2,27397.00
